"Serial","Name","Name_NoPunct","Location","Subloc","AltNames","AltNames_NoPunct","Length","Depth","Altitude","NGRSquare","NGREastings","NGRNorthings","OSGB36Eastings","OSGB36Northings","WGS84Latitude","WGS84Longitude","Description","Notes","Links","RegNotes","LocNotes","HydroFeed","HydroResurg","Geology","Registry","Tags","EditTime","EditAuthor"
"4827","Dovethirl Cove S","Dovethirl Cove S","Aberdeenshire, Kincardineshire","nr Uras Knapps, Fowls Heugh",,,"70","30","-9","NO","87909","80872","387909","780872","56.91900151017519","-2.200222672863059","A seacave with a very tall triangular opening, which soon drops down to a much lower tunnel on the same general direction as Henry's Scorth. After going through this narrows, there is a long straight rift tunnel which goes up narrowly a long way. At 9 Sep 20, the end has not been reached. On this day the tide level was 2.2 m ACD and it would have been much more comfortable below this.","Length is a visual estimate by Nigel Feilden. The VR is based on the height of the cliff and a photo. Depth measured 9/9/20 and converted to Alt.

""Two caves, in Fowls Heugh frequented by flocks of blue pigeons."" (1)","1. OS1/19/6/96 Dovethirl Coves

2. 1st Ed 25"" OS for location

3. www.geograph.org.uk/photo/6590059  Dovethirl Cove S is on the left.",,,,,"Whitehouse Conglomerate Formation","main","SeaCave;SSSI","2020-09-12 18:29:51","nigelf"
"1167","Pibble Gulch Mine","Pibble Gulch Mine","Kirkcudbrightshire","Creetown, Moneypool Burn, near Pibble",,,NULL,NULL,NULL,"NX","52300","61500","252300","561500","54.9262660568338","-4.30639574575056","Mine, Trial",,"aditnow. 

Gazetteer of Metal Mines of Scotland, p. 50.  

Mines of South-west Scotland, p. 25.
 
Non-Ferrous Metal Mines of South-west Scotland, p. 16.",,"52300    61500    6",,,"Lead","second","Mine;Trial;ManMade;Archaeo","2020-10-04 14:59:50","jcrae"
"839","Glione Bhriste (Uamh)","Glione Bhriste Uamh","Invernessshire","Skye, Coille Gaireallach, Beinn an Dubhaich","Broken Glass (Cave of)","Broken Glass Cave of","30",NULL,"40","NG","59700","19800","159700","819800","57.2057498773974","-5.98051524271028","Cave. Entrance squeeze between boulders at obvious flood rising 70 m W of rising of Uamh an Ard Achadh [High Pasture Cave].  Initial squeeze leads to short crawl & 2 m high chamber where running water audible. Hands & knees crawl leads on with oxbow on left to pool ending in chamber |& impenetrable slot. 
Existence of Uamh an Ard Achadh stream proved by broken glass littered through cave. Little prospect of further extension.","Explored & surveyed by MSG, 31 March 1975.","CoSkye, Ryder, Peter F., 1995, p. 30.",,"59700    19800    6",,,"Limestone","main","Cave","2018-02-01 13:20:13","jcrae"
"4629","Cave of Two Blunders","Cave of Two Blunders","Ross and Cromarty","Applecross",,,"17",NULL,NULL,"NG","73008","44679","173008","844679","57.435531604726854","-5.7835975064357985",,,"Bull. GSG 4th Series Vol.5 No.4 (2013)p.38",,,,,,"main","Cave","2018-05-28 18:09:00","alanj"
"3889","Malcolm's Head Cave [1]","Malcolms Head Cave 1","Shetland","Fair Isle, Malcolm's Head",,,NULL,NULL,NULL,"HZ","19552","70474","419552","1070474","59.5197669316082","-1.65623710249659","Sea cave at the base of steep cliffs to the south of Malcolm's Head.",,"Pastmap.",,"19552    70474    6",,,,"main","Cave;SeaCave","2020-09-19 22:24:01","jcrae"
"1835","Keaw Cove","Keaw Cove","Kirkcudbrightshire","Kirkcudbright Bay, Keaw Cove, Drumamoss",,,NULL,NULL,NULL,"NX","67500","44600","267500","544600","54.7787634726339","-4.06162234676175","Cave?","See also Torr's Cave [1441].","OS 1951, Kirkcudbrightshire Sheet 58 NW.",,"67500    44600    6",,,,"main","Cave","2018-03-15 10:35:31","jcrae"
"318","Balquhidder Trials","Balquhidder Trials","Perthshire","Balquhidder, Loch Voil",,,NULL,NULL,NULL,"NN","51000","19200","251000","719200","56.3416363216559","-4.41215714217031","Trial.

Of the Barony of Ballquhidder...There is a lead mine in this barony which was wrought upon for a short time about the year 1736. It did not promise a great deal. [Annexed Estates]

""several trials have been made, but no proper vein discovered"". [OSA]

""Veins of galena or lead glance traversing the mica-slate occur in several parts, but none of these appear to have been worked for the ore they contain."" [NSA]",,"Gazetteer of Metal Mines of Scotland, p. 7. 

http://www.chuckspeed.com/balquhidder/history/reports_annexed_estates.htm. 

NAS RHP3482. Plan of Balquhidder shows location of lead mine. 

https://theses.ncl.ac.uk/dspace/bitstream/10443/570/1/stewart86.pdf

Stewart, Duncan, Parish of Balquhidder 39 [in] Sinclair, Sir John 1977 The Statistical Account of Scotland 1791-1799 12 North and West Perthshire

RE. Mr MCGregor, Balquhidder, County of Perth, NSA, Vol. X, 1845.",,"51000    19200    6",,,"Lead","second","Mine;Trial;ManMade;Archaeo","2020-09-20 13:06:12","jcrae"
"3556","* Cave (Findon)"," Cave Findon","Aberdeenshire, Kincardineshire","Findon, SW of Findon Ness",,,NULL,NULL,NULL,"NO","94266","97349","394266","797349","57.06714183204646","-2.096189118396998","Sea Cave",,,,"94266    97349    8",,,,"main","Cave;SeaCave","2019-03-07 11:45:00","jcrae"
"1126","Nighian (Uamh na)","Nighian Uamh na","Argyllshire","Mull, W of Carn Ban, between Loch Spelve and Loch Don","Nighean (Uamh na), Girl's Cave, Daughter's Cave, Maiden's Cave","Nighean Uamh na Girl’s Cave Daughter’s Cave Maidens Cave",NULL,NULL,NULL,"NM","74132","29342","174132","729342","56.402156942885","-5.66209659323084","Cave","No direct translation for Nighian but Nighean or Nighinn translates as Girl or daughter. More probable is Cave of the Wash but this would be Uamh na Nigh.","6"" OS 1900 OS Sheet 97 Argyllshire SE  56° 24' 7.2""N / 5° 39' 38.6""W. 
Auto Lat/Long conversion to NGR. Original lat/long misread.",,"74132    29342    8",,,,"main","Cave","2018-02-07 18:33:08","jcrae"
"1473","Tartair (Uamh an) [Cnoc nan Uamh]","Tartair Uamh an Cnoc nan Uamh","Sutherland","Inchnadamph, Traligill, Cnoc nan Uamh","Cave of the Roaring","Cave of the Roaring",NULL,NULL,"221","NC","27600","20600","227600","920600","58.1405929098652","-4.93028751146805","The arch seen at a distance is the trifling Cave of Roaring, (E.E. Roberts 1937). 

Despite this description above, a small hole at the right hand side of the second of the two obvious chambers leads through a tightish squeeze into a sometimes flooding stream chamber. Beyond this stream either through one of three low wet crawls (only passable in extremely dry weather) or a dry crawl near the top of the rubble slope to the right leads to one of the largest cave systems in Assynt. 

Cave of Roaring.-1939. Mr. W. Fairbank in the second chamber broke a way through into a considerable cavern with a burn which must be above the Cave of Water. Rigg had previously been down the great slab in the latter.

Inchnadamf. - 1947.  Mr. A. L. Butcher and a Sheffield University party explored ... the Cnoc nam Uamh caves, of Water and Roaring, they worked upstream and found the series ends in a huge pool in a chamber at least 200 ft. long.

1952. -  Marshall and Stoney ... visited the Inchnadamff Cave of Roaring and cleared up the mystery. [What mystery?]

The stream level in wet weather can sometimes be dangerous often blocking the route further into the cave. It the levels are dubious on arrival do not enter. Rising levels may not block the exit but can make crossing the stream an extreme risk as the water flow could carry unwary cavers into the flooded passages downstream.","Should not be confused with the other Uamh an Tartair at Knockan. 

The Gaelic word 'tartair' translates literally as roaring but this is also the main entrance to the Cnoc nan Uamh System.

For downstream sections see Pothole Entrance and Uamh an Uisge (aka The Waterslide). Length Given in entry for Cnoc nan Uamh.","Caves of Assynt, p. 33.

YRC Committee (1938) Cave Exploration. Yorkshire Ramblers' Club Journal Volume 7 Number 23: pp79-88. Leeds: YRC.

YRC Committee (1947) Cave Exploration. Yorkshire Ramblers' Club Journal Volume 7 Number 24: pp177-183. Leeds: YRC.

YRC Committee (1949) Cave Exploration. Yorkshire Ramblers' Club Journal Volume 7 Number 25: pp266-277. Leeds: YRC.

YRC Committee (1954) On The Hills. Yorkshire Ramblers' Club Journal Volume 8 Number 27: pp79-82. Leeds: YRC.

YRC Committee (1954) Cave Exploration. Yorkshire Ramblers' Club Journal Volume 8 Number 27: pp83-89. Leeds: YRC.",,"27600    20600    6
Position updated - 2007.",,,"Limestone","main","Cave","2019-03-04 17:20:15","jcrae"
